,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,86,95,108,118,123,130,87,16,20,25,13,16,21
Expenses +,24,27,34,32,37,37,42,26,25,18,12,16,20
Operating Profit,61,68,73,86,87,93,45,-9,-5,7,1,-0,1
OPM %,72%,72%,68%,73%,70%,71%,52%,-58%,-24%,27%,10%,-2%,6%
Other Income +,3,6,7,6,8,3,2,1,0,5,1,1,2
Interest,17,16,13,9,8,3,6,7,8,0,0,0,0
Depreciation,5,5,2,2,2,32,38,42,43,42,42,42,42
Profit before tax,43,54,66,81,84,61,3,-57,-56,-30,-40,-41,-38
Tax %,12%,15%,36%,34%,5%,-60%,34%,-1%,36%,0%,0%,0%,
Net Profit,37,46,42,54,80,98,2,-58,-36,-30,-40,-41,-38
EPS in Rs,2.01,2.45,2.25,2.90,4.28,5.24,0.12,-3.11,-1.93,-1.63,-2.14,-2.22,-2.05
