,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,479,559,590,606,669,673,726,855,965,776,762,944,980
Expenses +,369,444,490,502,545,562,608,686,779,689,658,796,834
Operating Profit,109,114,101,104,124,111,117,169,186,86,105,148,146
OPM %,23%,20%,17%,17%,19%,17%,16%,20%,19%,11%,14%,16%,15%
Other Income +,3,4,9,3,4,3,8,12,22,16,15,9,9
Interest,7,15,19,19,19,18,18,15,16,22,23,18,16
Depreciation,24,29,32,36,31,32,32,31,35,33,31,37,39
Profit before tax,82,73,58,52,78,64,75,135,157,47,66,102,100
Tax %,33%,31%,18%,35%,31%,32%,30%,31%,30%,29%,16%,26%,
Net Profit,55,51,48,34,54,43,53,93,110,33,56,76,72
EPS in Rs,5.53,5.15,4.87,3.40,5.49,4.33,5.33,9.36,11.17,3.31,5.58,7.56,7.22
