,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,270,282,294,346,353,349,372,412,484,521,514,497,534
Expenses +,242,246,247,278,287,318,319,353,405,427,384,460,477
Operating Profit,28,36,46,68,66,31,54,59,79,94,129,37,57
OPM %,10%,13%,16%,20%,19%,9%,14%,14%,16%,18%,25%,7%,11%
Other Income +,9,20,20,24,33,26,32,29,27,37,39,35,29
Interest,0,0,0,1,1,1,1,1,1,1,1,1,1
Depreciation,9,7,6,8,12,12,11,7,10,14,14,15,19
Profit before tax,27,48,60,83,87,44,74,80,96,117,154,56,66
Tax %,3%,27%,25%,23%,25%,26%,11%,22%,23%,24%,23%,26%,
Net Profit,26,35,45,64,65,32,66,63,75,89,118,41,48
EPS in Rs,8.13,10.91,13.95,19.87,19.98,10.03,20.43,21.54,25.67,30.64,40.62,15.28,17.74
