,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,200,242,315,357,357
Reserves,"4,788","5,037","6,509","8,464","8,353"
Borrowings +,"4,683","4,513","7,792","5,575","5,525"
Other Liabilities +,"3,590","3,652","5,292","5,218","5,358"
Total Liabilities,"13,262","13,444","19,907","19,615","19,593"
Fixed Assets +,"9,895","9,970","15,042","15,409","15,053"
CWIP,605,647,"1,240",399,499
Investments,456,0,384,186,0
Other Assets +,"2,306","2,827","3,241","3,621","4,041"
Total Assets,"13,262","13,444","19,907","19,615","19,593"
