,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,364,328,328,328,328,339,340,340,364,364,364,364,364
Reserves,"2,983","3,406","3,834","4,068","4,306","5,002","5,386","5,753","7,666","8,266","9,006","10,053","10,665"
Borrowings +,0,0,0,76,902,473,869,"1,694","1,586","1,519","1,534","2,855","2,999"
Other Liabilities +,680,"1,050","1,127","1,015","1,584","1,669","1,865","2,401","1,483","1,045","1,116","2,394","2,477"
Total Liabilities,"3,991","4,785","5,289","5,487","7,120","7,484","8,459","10,188","11,098","11,193","12,019","15,666","16,504"
Fixed Assets +,758,966,952,931,"1,280",247,945,976,"1,062","1,046","1,014",980,962
CWIP,173,284,385,434,22,49,110,113,126,305,"1,980","3,298","3,641"
Investments,65,0,0,50,0,"2,182","1,824","2,420","2,938","2,406","1,620","2,679","2,526"
Other Assets +,"2,996","3,534","3,952","4,073","5,818","5,007","5,581","6,679","6,972","7,435","7,406","8,709","9,376"
Total Assets,"3,991","4,785","5,289","5,487","7,120","7,484","8,459","10,188","11,098","11,193","12,019","15,666","16,504"
