,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,14,14,14,14,14,14,14,20,32,33,33,33,33
Reserves,85,59,60,62,66,72,52,167,626,660,708,744,765
Borrowings +,36,38,39,52,45,55,65,72,24,30,8,67,84
Other Liabilities +,25,35,35,30,38,33,32,55,181,259,185,346,486
Total Liabilities,160,146,148,158,164,174,163,315,863,981,934,"1,190","1,368"
Fixed Assets +,83,82,82,84,79,76,61,72,173,151,290,325,339
CWIP,20,19,20,19,19,19,11,6,0,0,0,3,44
Investments,0,0,0,0,0,0,0,0,102,0,0,0,0
Other Assets +,57,45,46,55,66,79,91,237,589,831,645,862,985
Total Assets,160,146,148,158,164,174,163,315,863,981,934,"1,190","1,368"
