,Mar 2007,Mar 2008,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,10,10,10,10,10,10,10,10,10,10,10,10,10
Reserves,261,318,467,497,525,649,590,619,622,604,617,652,644
Borrowings +,50,77,160,231,256,235,126,128,109,113,133,140,139
Other Liabilities +,55,91,184,163,103,169,122,96,356,394,414,398,403
Total Liabilities,377,497,821,901,894,"1,062",848,853,"1,096","1,120","1,174","1,199","1,196"
Fixed Assets +,127,162,189,181,344,483,173,164,135,141,135,147,149
CWIP,29,46,121,170,17,5,1,5,3,5,4,9,10
Investments,13,52,53,27,62,24,109,95,95,77,83,79,79
Other Assets +,208,236,458,523,471,551,565,589,865,897,952,965,957
Total Assets,377,497,821,901,894,"1,062",848,853,"1,096","1,120","1,174","1,199","1,196"
