,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,208","1,855","2,832","4,106","2,570","1,922","1,538",714,"1,173",333,182,472,834
Expenses +,"1,168","1,794","2,753","3,986","2,461","1,842","1,492",660,"1,234",425,280,491,846
Operating Profit,40,60,79,120,109,80,45,54,-61,-91,-98,-20,-12
OPM %,3%,3%,3%,3%,4%,4%,3%,8%,-5%,-27%,-54%,-4%,-1%
Other Income +,5,2,3,7,8,9,29,15,63,17,206,36,48
Interest,12,16,28,39,40,43,44,33,42,8,6,5,5
Depreciation,9,6,6,13,33,23,19,16,17,10,5,6,12
Profit before tax,23,40,47,75,43,23,11,20,-57,-93,97,5,19
Tax %,33%,30%,35%,35%,36%,43%,39%,31%,-4%,8%,3%,120%,
Net Profit,16,28,31,49,27,13,7,14,-59,-85,95,-1,12
EPS in Rs,1.82,3.27,3.56,5.67,3.20,1.51,0.79,1.62,-6.92,-9.89,11.02,-0.11,1.45
