,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,11,14,14,14,14,14,14,14,14,14,14
Reserves,106,156,162,163,168,208,218,225,235,270,285
Borrowings +,183,188,197,181,110,77,101,61,40,16,12
Other Liabilities +,132,133,142,144,127,133,126,120,148,155,149
Total Liabilities,431,487,514,502,419,432,459,421,437,455,461
Fixed Assets +,251,234,228,234,201,196,239,233,207,207,248
CWIP,1,2,18,5,0,1,1,1,0,1,3
Investments,0,20,20,20,24,6,7,7,8,9,9
Other Assets +,179,232,247,243,193,228,213,180,222,239,200
Total Assets,431,487,514,502,419,432,459,421,437,455,461
