,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,6,6,6,6,22,22,6,6,6,6,6,6,6
Reserves,643,869,620,507,449,426,340,293,335,139,-256,821,802
Borrowings +,862,877,979,"1,060","1,095","1,088",994,941,646,742,820,34,32
Other Liabilities +,223,198,235,371,381,334,449,359,388,503,608,921,510
Total Liabilities,"1,734","1,950","1,839","1,943","1,930","1,854","1,789","1,598","1,376","1,390","1,178","1,783","1,351"
Fixed Assets +,685,"1,195","1,154","1,276","1,144","1,071","1,001",949,806,657,609,589,593
CWIP,119,91,135,172,155,161,30,40,23,24,34,17,7
Investments,57,33,22,16,15,9,7,7,5,6,0,5,16
Other Assets +,874,631,527,479,616,614,750,602,542,703,534,"1,171",736
Total Assets,"1,734","1,950","1,839","1,943","1,930","1,854","1,789","1,598","1,376","1,390","1,178","1,783","1,351"
