,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,9.99,6.53,2.90,6.01,10.06,34.80,36.10,60.25,48.38
Expenses +,5.74,3.62,1.21,2.73,8.27,27.57,26.91,52.55,42.26
Operating Profit,4.25,2.91,1.69,3.28,1.79,7.23,9.19,7.70,6.12
OPM %,42.54%,44.56%,58.28%,54.58%,17.79%,20.78%,25.46%,12.78%,12.65%
Other Income +,2.18,1.38,1.33,3.35,3.94,0.66,0.57,0.37,0.40
Interest,0.62,0.78,1.09,1.91,2.14,2.92,3.64,1.38,1.10
Depreciation,0.30,0.26,0.32,0.58,1.14,1.19,1.19,1.83,2.14
Profit before tax,5.51,3.25,1.61,4.14,2.45,3.78,4.93,4.86,3.28
Tax %,8.53%,18.77%,23.60%,21.98%,20.82%,26.98%,24.34%,24.90%,
Net Profit,5.04,2.64,1.23,3.23,1.95,2.76,3.73,3.64,2.15
EPS in Rs,23.60,12.36,0.71,1.85,1.12,1.58,2.14,2.09,1.23
