,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,18,19,33,33,33,33,25,29,34,37,39,39,39
Reserves,33,-25,-48,-143,-246,-368,-37,-16,107,143,154,163,183
Borrowings +,471,475,410,342,397,346,217,203,210,210,202,187,181
Other Liabilities +,179,164,184,184,179,305,116,175,118,122,76,93,89
Total Liabilities,701,633,571,407,355,308,321,390,469,512,471,481,492
Fixed Assets +,151,142,98,88,81,75,138,130,132,145,142,135,132
CWIP,1,1,0,0,0,0,0,0,0,0,0,0,0
Investments,1,1,1,1,0,0,0,0,0,0,0,0,0
Other Assets +,548,489,472,318,274,233,183,260,337,367,329,346,360
Total Assets,701,633,571,407,355,308,321,390,469,512,471,481,492
