,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,575,575,575,575,814
Reserves,907,"1,028","1,252","1,650","2,504"
Borrowings +,"3,123","2,298","1,251","2,954","4,500"
Other Liabilities +,"1,022","1,109","1,344","2,749","2,958"
Total Liabilities,"5,628","5,010","4,423","7,928","10,776"
Fixed Assets +,"1,024","1,214","1,226","1,261","2,858"
CWIP,255,149,220,336,499
Investments,0,3,125,553,3
Other Assets +,"4,349","3,644","2,852","5,778","7,416"
Total Assets,"5,628","5,010","4,423","7,928","10,776"
