,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,218,218,218,218,218,218,218,218,218,218,218,218,218
Reserves,"2,403","2,452","2,507","2,562","2,454","2,413","2,265","1,947",725,390,-37,-521,-740
Borrowings +,"2,057","2,232","2,540","3,139","3,092","3,126","3,911","4,400","4,215","3,143","3,519","3,537","3,647"
Other Liabilities +,"1,536","1,831","2,158","2,213","1,531","1,712","1,563","1,825","4,530","4,339","4,159","3,691","3,941"
Total Liabilities,"6,214","6,732","7,423","8,132","7,294","7,469","7,956","8,390","9,688","8,089","7,859","6,925","7,066"
Fixed Assets +,228,228,214,163,516,480,575,548,564,860,900,912,"1,881"
CWIP,455,592,789,848,625,678,647,747,814,915,927,839,26
Investments,29,28,28,15,15,79,15,15,303,344,390,390,390
Other Assets +,"5,502","5,884","6,392","7,106","6,139","6,232","6,720","7,081","8,007","5,971","5,642","4,784","4,770"
Total Assets,"6,214","6,732","7,423","8,132","7,294","7,469","7,956","8,390","9,688","8,089","7,859","6,925","7,066"
