,Dec 2005,Dec 2006,Dec 2007,Dec 2008,Dec 2009,Dec 2010,Dec 2011
Share Capital +,28,28,28,26,26,26,27
Reserves,"2,097","2,304","2,708","2,814","3,506","3,200","3,662"
Borrowings +,3,3,2,2,1,1,1
Other Liabilities +,572,798,710,994,781,811,866
Total Liabilities,"2,700","3,133","3,448","3,836","4,313","4,039","4,555"
Fixed Assets +,588,716,"1,042","1,139","1,170","1,213","1,142"
CWIP,121,211,218,250,134,92,79
Investments,633,"1,070","1,152","1,177","1,775","1,261","1,688"
Other Assets +,"1,358","1,136","1,037","1,270","1,235","1,472","1,646"
Total Assets,"2,700","3,133","3,448","3,836","4,313","4,039","4,555"
