,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,0,26,26,26,26,26,26,26,26,26
Reserves,373,421,455,437,439,442,533,621,846,926
Borrowings +,466,475,485,465,552,700,747,562,740,830
Other Liabilities +,435,469,478,509,643,"1,003","1,038","1,136","1,782","1,527"
Total Liabilities,"1,274","1,391","1,445","1,437","1,660","2,172","2,344","2,345","3,395","3,309"
Fixed Assets +,183,192,195,210,273,354,479,464,463,437
CWIP,2,11,23,20,30,15,21,5,3,6
Investments,23,20,44,68,98,79,89,154,319,382
Other Assets +,"1,066","1,168","1,183","1,140","1,258","1,723","1,755","1,722","2,609","2,485"
Total Assets,"1,274","1,391","1,445","1,437","1,660","2,172","2,344","2,345","3,395","3,309"
