,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"3,687","3,872","4,277","4,616","4,924","6,486","6,648","6,213","8,828","10,269"
Expenses +,"3,686","3,818","4,235","4,559","4,886","6,350","6,444","5,972","8,495","9,874"
Operating Profit,1,54,42,57,38,136,204,241,334,395
OPM %,0%,1%,1%,1%,1%,2%,3%,4%,4%,4%
Other Income +,58,13,31,14,24,16,13,37,86,69
Interest,17,19,14,13,22,56,74,41,39,39
Depreciation,16,15,15,13,16,26,52,68,70,75
Profit before tax,27,34,44,45,24,69,91,170,310,349
Tax %,11%,16%,2%,11%,13%,0%,10%,13%,6%,
Net Profit,24,29,43,38,20,69,81,148,293,324
EPS in Rs,612.33,1.67,2.14,1.10,-0.60,3.37,3.53,6.48,19.08,21.00
