,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,20,22,22,22,22,22,22,22,22,22,22,22,22
Reserves,452,526,592,648,296,323,359,373,448,479,496,577,606
Borrowings +,443,452,506,605,167,217,253,315,333,463,440,645,543
Other Liabilities +,304,376,610,635,250,264,282,226,298,288,339,538,481
Total Liabilities,"1,219","1,376","1,730","1,910",734,825,916,937,"1,100","1,252","1,296","1,781","1,651"
Fixed Assets +,311,322,328,372,213,210,256,274,338,422,390,448,477
CWIP,5,11,3,15,3,11,16,8,8,36,47,15,21
Investments,8,10,26,42,11,19,13,37,33,38,55,55,84
Other Assets +,895,"1,033","1,373","1,481",507,585,630,617,722,756,804,"1,263","1,069"
Total Assets,"1,219","1,376","1,730","1,910",734,825,916,937,"1,100","1,252","1,296","1,781","1,651"
