,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017
Share Capital +,41,41,41,41,41,41,28,28,28
Reserves,114,94,84,90,65,75,89,114,139
Borrowings +,128,132,133,156,165,59,56,65,32
Other Liabilities +,73,86,107,108,164,128,67,55,52
Total Liabilities,343,341,351,381,422,290,240,263,252
Fixed Assets +,114,106,110,103,126,68,53,51,73
CWIP,8,12,3,0,0,0,0,1,0
Investments,0,0,0,0,0,0,0,0,0
Other Assets +,221,223,238,278,296,222,187,210,179
Total Assets,343,341,351,381,422,290,240,263,252
