,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,29,29,29,29,29,31,31,31,31,31,36,36,36
Reserves,"1,641","1,682","1,740","1,695","1,645","1,997","2,119","2,821","3,443","3,678","5,003","6,547","7,642"
Borrowings +,962,"1,668","2,196","3,406","3,402","3,889","3,626","3,666","4,244","4,308","4,063","3,982","4,270"
Other Liabilities +,506,734,"1,046","1,630","1,565","1,507","1,233","1,979","2,398","2,528","2,288","3,765","4,545"
Total Liabilities,"3,138","4,113","5,011","6,760","6,641","7,424","7,008","8,497","10,116","10,545","11,389","14,330","16,492"
Fixed Assets +,793,"1,188","2,784","4,170","4,130","4,548","4,500","5,668","6,522","6,453","7,207","7,508","9,377"
CWIP,"1,100","1,359",167,235,214,195,328,503,896,"1,534","1,274","2,049","2,598"
Investments,479,487,555,354,200,161,410,829,745,590,576,"2,317","1,535"
Other Assets +,766,"1,079","1,505","2,001","2,097","2,520","1,770","1,498","1,952","1,968","2,333","2,456","2,982"
Total Assets,"3,138","4,113","5,011","6,760","6,641","7,424","7,008","8,497","10,116","10,545","11,389","14,330","16,492"
