,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"2,657","3,127","3,678","4,283","4,844","5,361","5,617","6,078","7,078","7,294","7,293","9,921","11,470"
Expenses +,"2,199","2,641","3,120","3,611","4,073","4,188","4,355","4,737","5,707","5,718","5,606","8,065","9,491"
Operating Profit,458,485,558,672,771,"1,173","1,262","1,341","1,371","1,576","1,686","1,856","1,979"
OPM %,17%,16%,15%,16%,16%,22%,22%,22%,19%,22%,23%,19%,17%
Other Income +,41,42,107,38,40,81,115,153,130,97,74,39,53
Interest,36,31,16,16,16,13,14,16,26,34,37,42,41
Depreciation,59,64,69,81,118,100,115,120,133,170,201,240,248
Profit before tax,403,433,581,612,678,"1,141","1,248","1,359","1,342","1,470","1,522","1,614","1,744"
Tax %,23%,25%,27%,27%,25%,29%,31%,29%,31%,24%,26%,25%,
Net Profit,310,325,424,450,514,807,863,966,928,"1,122","1,126","1,207","1,309"
EPS in Rs,6.13,6.39,8.27,8.77,10.00,15.66,16.77,18.95,18.21,21.97,22.26,23.76,25.55
