,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,40,40,44,44,41,35,22,27,25,25,27,27,27
Reserves,28,17,-9,28,58,45,38,47,53,61,83,94,101
Borrowings +,219,244,247,185,120,92,70,66,57,37,32,32,36
Other Liabilities +,91,72,64,66,70,57,74,63,60,50,46,47,47
Total Liabilities,351,345,319,296,265,213,203,200,196,173,188,199,211
Fixed Assets +,121,124,116,110,94,98,107,96,93,85,80,78,74
CWIP,7,5,6,3,5,3,0,3,2,0,0,8,15
Investments,4,4,8,3,8,7,0,0,0,0,0,1,3
Other Assets +,219,212,189,181,159,105,95,101,100,87,108,112,119
Total Assets,351,345,319,296,265,213,203,200,196,173,188,199,211
