,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10
Reserves,37.40,98.61,99.32,100.25,95.86,93.44,125.55,165.55,168.07,160.74,177.53,182.56,180.60
Borrowings +,4.59,3.05,3.39,3.01,6.24,13.87,7.37,22.13,23.87,26.21,14.87,51.00,19.68
Other Liabilities +,5.87,7.19,6.33,7.49,6.68,6.09,5.76,8.12,8.05,8.34,8.84,11.02,12.34
Total Liabilities,50.96,111.95,112.14,113.85,111.88,116.50,141.78,198.90,203.09,198.39,204.34,247.68,215.72
Fixed Assets +,14.65,17.10,16.74,15.74,17.52,17.41,18.70,38.09,37.49,36.40,34.01,32.00,30.16
CWIP,0.00,0.00,0.00,0.00,1.12,0.03,1.87,1.68,1.65,1.10,1.52,1.51,1.61
Investments,10.16,72.57,70.82,63.83,62.98,65.71,89.89,130.24,127.71,110.49,132.34,113.79,118.18
Other Assets +,26.15,22.28,24.58,34.28,30.26,33.35,31.32,28.89,36.24,50.40,36.47,100.38,65.77
Total Assets,50.96,111.95,112.14,113.85,111.88,116.50,141.78,198.90,203.09,198.39,204.34,247.68,215.72
