,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,6,6,6,6,6,6,6,6,6,6,6,6,6
Reserves,47,16,9,20,47,91,145,185,264,332,359,437,488
Borrowings +,247,252,274,310,290,272,271,255,238,288,312,515,508
Other Liabilities +,132,148,125,91,85,99,76,60,89,292,325,214,172
Total Liabilities,432,422,414,426,428,468,497,506,597,918,"1,003","1,172","1,174"
Fixed Assets +,308,295,280,259,241,239,260,270,259,269,699,758,746
CWIP,6,4,2,3,6,20,3,3,55,431,65,1,1
Investments,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
Other Assets +,118,123,132,165,182,209,235,234,283,218,239,412,427
Total Assets,432,422,414,426,428,468,497,506,597,918,"1,003","1,172","1,174"
