,Mar 2015,Mar 2016,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,0,1,1,1,1,1,90,90
Reserves,97,301,787,489,"1,265","1,990","5,322","5,284"
Borrowings +,0,0,0,89,108,109,159,224
Other Liabilities +,29,44,93,173,203,231,344,364
Total Liabilities,126,345,880,751,"1,576","2,331","5,915","5,963"
Fixed Assets +,4,6,11,119,147,125,205,303
CWIP,0,0,0,0,0,0,0,0
Investments,19,237,650,125,2,138,373,867
Other Assets +,103,102,219,507,"1,427","2,068","5,338","4,792"
Total Assets,126,345,880,751,"1,576","2,331","5,915","5,963"
