,Mar 2015,Mar 2016,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,78,90,334,492,771,887,"1,425","1,986"
Expenses +,149,232,386,828,"1,091","1,046","2,325","3,019"
Operating Profit,-72,-142,-52,-336,-320,-160,-901,"-1,033"
OPM %,-92%,-157%,-16%,-68%,-41%,-18%,-63%,-52%
Other Income +,10,35,26,37,84,71,124,192
Interest,0,0,0,8,12,12,14,17
Depreciation,2,3,7,30,47,41,43,52
Profit before tax,-64,-110,-34,-337,-295,-142,-833,-909
Tax %,-0%,0%,-76%,-3%,-3%,-6%,0%,
Net Profit,-64,-110,-59,-347,-304,-150,-833,-909
EPS in Rs,"-17,719.44","-30,600.00","-16,396.12","-91,265.79","-80,007.89","-6,583.70",-18.53,-20.22
