,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Sep 2022
Share Capital +,6,10,10,10,10,10,11,11,11,12
Reserves,5,9,13,8,19,25,25,27,29,217
Borrowings +,14,19,20,36,60,58,50,76,75,27
Other Liabilities +,7,9,13,7,16,30,16,27,26,14
Total Liabilities,32,48,56,61,105,123,102,141,141,270
Fixed Assets +,6,11,14,15,23,26,21,23,22,62
CWIP,3,2,1,0,1,2,2,1,3,2
Investments,0,0,0,0,0,0,0,0,0,0
Other Assets +,23,35,41,45,82,95,79,116,116,206
Total Assets,32,48,56,61,105,123,102,141,141,270
