,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,TTM
Sales +,483,641,857,"1,003","1,168","1,410",28,239,533,458
Expenses +,434,569,766,900,"1,052","1,283",26,236,679,594
Operating Profit,49,72,91,104,115,127,1,3,-146,-136
OPM %,10%,11%,11%,10%,10%,9%,4%,1%,-27%,-30%
Other Income +,1,1,1,1,1,20,46,49,60,39
Interest,18,30,33,41,41,29,0,0,0,1
Depreciation,16,24,33,34,40,43,0,0,0,0
Profit before tax,15,19,25,29,37,74,48,52,-87,-98
Tax %,35%,28%,18%,10%,37%,37%,1%,5%,-26%,
Net Profit,10,14,21,26,23,47,47,49,-109,-113
EPS in Rs,0.32,4.60,6.93,3.64,2.37,4.81,4.84,5.00,-11.18,-11.61
