,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,37,36,35,35,35,36,36,36,37,37,37,37,37
Reserves,522,517,535,547,587,620,674,690,708,683,765,879,890
Borrowings +,0,24,16,21,17,16,4,6,0,0,18,21,26
Other Liabilities +,468,670,659,670,504,485,473,401,502,442,774,"1,276","1,346"
Total Liabilities,"1,027","1,247","1,246","1,274","1,144","1,157","1,187","1,133","1,247","1,162","1,594","2,213","2,298"
Fixed Assets +,142,241,247,323,302,272,270,297,290,294,284,286,296
CWIP,14,10,48,2,1,1,31,4,2,2,1,2,5
Investments,259,155,163,91,158,145,134,201,211,164,335,463,386
Other Assets +,612,841,788,859,682,738,752,631,744,702,975,"1,461","1,611"
Total Assets,"1,027","1,247","1,246","1,274","1,144","1,157","1,187","1,133","1,247","1,162","1,594","2,213","2,298"
