,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020
Share Capital +,17,17,35,35,20,20,20,20,48,48,48,48
Reserves,208,259,449,523,613,626,665,647,194,"-2,768","-4,384","-4,448"
Borrowings +,248,435,440,971,"1,508","2,037","2,283","4,011","4,700","5,092","5,477","5,497"
Other Liabilities +,304,423,592,884,999,"1,591","2,494","2,212","1,114","1,766","1,946","2,083"
Total Liabilities,777,"1,134","1,500","2,398","3,140","4,275","5,462","6,891","6,056","4,138","3,086","3,180"
Fixed Assets +,154,289,316,485,866,"1,111","1,073","1,012",856,755,380,348
CWIP,61,11,54,277,30,62,8,8,9,9,0,0
Investments,0,5,0,3,0,0,0,111,97,95,49,47
Other Assets +,562,828,"1,130","1,634","2,243","3,101","4,381","5,760","5,094","3,279","2,657","2,785"
Total Assets,777,"1,134","1,500","2,398","3,140","4,275","5,462","6,891","6,056","4,138","3,086","3,180"
