,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,7,7,8,12,12,12,12,12,12,12,12,12,12
Reserves,161,109,131,148,122,66,337,331,324,298,330,432,435
Borrowings +,389,297,439,448,383,399,352,380,354,308,329,360,412
Other Liabilities +,89,57,69,86,56,70,110,101,97,113,87,129,120
Total Liabilities,645,471,647,694,573,547,811,824,787,732,758,933,979
Fixed Assets +,219,232,209,364,336,314,557,533,512,470,444,433,461
CWIP,3,12,164,0,1,1,5,1,2,1,3,32,2
Investments,30,27,23,30,16,16,16,17,18,11,11,12,12
Other Assets +,393,200,250,299,220,216,233,272,255,249,301,456,505
Total Assets,645,471,647,694,573,547,811,824,787,732,758,933,979
