,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,473","1,357","1,814","1,239","1,413","1,545","1,783"
Expenses +,"1,365","1,300","1,868","1,227","1,224","1,359","1,568"
Operating Profit,108,56,-54,13,189,185,214
OPM %,7%,4%,-3%,1%,13%,12%,12%
Other Income +,10,5,13,15,22,4,14
Interest,19,14,38,34,43,27,20
Depreciation,73,74,94,96,94,82,81
Profit before tax,26,-26,-173,-102,74,80,128
Tax %,65%,-85%,-1%,3%,44%,31%,
Net Profit,9,-49,-174,-99,42,55,103
EPS in Rs,0.76,-4.02,-14.26,-8.10,3.40,4.52,8.41
