,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013
Share Capital +,18,18,18,18,18,18,35
Reserves,357,377,401,378,373,379,432
Borrowings +,287,372,428,447,429,513,538
Other Liabilities +,23,184,441,821,928,940,"1,059"
Total Liabilities,685,951,"1,288","1,664","1,747","1,849","2,064"
Fixed Assets +,28,17,26,81,153,156,159
CWIP,1,0,0,64,0,0,0
Investments,47,33,20,1,0,0,0
Other Assets +,609,900,"1,242","1,518","1,594","1,693","1,904"
Total Assets,685,951,"1,288","1,664","1,747","1,849","2,064"
