,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Sep 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020
Share Capital +,43,53,53,53,53,53,99,99,125,125,125,125
Reserves,648,867,891,908,340,-25,-343,"-1,793","-2,453","-2,665","-2,866","-3,046"
Borrowings +,"1,142","2,513","2,282","3,708","5,095","5,002","5,014","4,339","4,324","4,338","4,397","4,474"
Other Liabilities +,"4,274","1,349","1,766","1,753",825,673,616,476,406,417,426,407
Total Liabilities,"6,106","4,783","4,992","6,422","6,313","5,704","5,385","3,121","2,402","2,215","2,082","1,960"
Fixed Assets +,924,"1,364","1,440","1,716","2,810","2,731","2,648","1,799","1,643","1,505","1,380","1,274"
CWIP,373,237,212,323,169,128,82,92,81,78,73,69
Investments,4,4,5,5,3,3,3,134,3,3,3,3
Other Assets +,"4,805","3,177","3,336","4,378","3,331","2,841","2,651","1,096",674,629,626,613
Total Assets,"6,106","4,783","4,992","6,422","6,313","5,704","5,385","3,121","2,402","2,215","2,082","1,960"
