,Mar 2011,Sep 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,7,12,12,12,12,12,12,12,12,12,12,12,12
Reserves,36,-39,-50,-46,-47,49,46,62,79,85,132,213,248
Borrowings +,569,382,356,365,321,191,151,117,91,99,88,93,106
Other Liabilities +,239,171,163,164,196,205,229,165,189,197,219,238,243
Total Liabilities,852,526,482,496,482,457,439,356,371,394,451,557,610
Fixed Assets +,465,249,258,242,232,235,224,177,180,168,189,212,210
CWIP,8,24,10,3,7,4,6,4,7,15,16,7,20
Investments,15,7,6,4,0,0,1,1,1,1,1,1,1
Other Assets +,364,247,207,247,243,219,207,174,184,210,245,337,378
Total Assets,852,526,482,496,482,457,439,356,371,394,451,557,610
