,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,27,26,40,41,42,47,47,47,47,51,61,61,61
Reserves,314,253,603,358,368,835,918,"1,029","1,449","1,429","1,773","1,309","1,318"
Borrowings +,162,203,657,613,747,660,820,831,"1,282","5,066","5,003","5,196","5,291"
Other Liabilities +,153,130,287,340,273,356,440,442,"1,062",881,665,758,646
Total Liabilities,656,613,"1,586","1,352","1,429","1,897","2,225","2,348","3,840","7,428","7,502","7,323","7,316"
Fixed Assets +,368,273,996,820,860,"1,000","1,509","1,590","2,742","5,886","5,475","5,407","5,360"
CWIP,58,88,145,107,80,76,106,102,221,155,217,64,104
Investments,1,1,38,24,2,2,2,21,11,2,1,0,0
Other Assets +,230,252,407,402,486,820,609,636,866,"1,385","1,808","1,851","1,852"
Total Assets,656,613,"1,586","1,352","1,429","1,897","2,225","2,348","3,840","7,428","7,502","7,323","7,316"
