,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,8,8,61,61,70,70,70,71,64,64,58,58
Reserves,203,277,271,270,559,592,653,719,580,687,570,566
Borrowings +,0,0,0,0,0,0,0,0,0,0,0,0
Other Liabilities +,19,29,47,97,88,72,57,63,52,75,88,81
Total Liabilities,230,314,380,428,717,734,781,853,697,827,716,704
Fixed Assets +,19,38,82,111,142,185,173,165,158,146,137,131
CWIP,24,29,55,74,55,14,14,11,3,2,0,0
Investments,100,139,131,130,115,182,306,390,310,416,318,340
Other Assets +,87,107,111,113,405,353,287,288,225,263,261,234
Total Assets,230,314,380,428,717,734,781,853,697,827,716,704
