,Mar 2006,Mar 2007,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,19,77,27,27,27,27,27,27,27,27
Reserves,124,166,951,"1,018","1,130","1,309","1,516","1,766","2,000","2,078"
Borrowings +,342,632,960,799,592,337,400,288,202,410
Other Liabilities +,85,191,390,392,498,581,540,543,555,721
Total Liabilities,570,"1,007","2,327","2,235","2,247","2,253","2,483","2,624","2,784","3,236"
Fixed Assets +,257,285,729,704,685,714,743,810,821,811
CWIP,4,44,2,2,20,16,18,38,30,237
Investments,2,10,220,220,220,176,178,184,175,222
Other Assets +,306,668,"1,376","1,309","1,321","1,347","1,543","1,592","1,757","1,967"
Total Assets,570,"1,007","2,327","2,235","2,247","2,253","2,483","2,624","2,784","3,236"
