,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,321,321,321,321,321,321,321,321
Reserves,764,838,932,968,"1,048","1,092","1,206","1,266"
Borrowings +,0,0,0,5,43,0,0,30
Other Liabilities +,"1,135","1,162","1,066",933,986,"1,297","1,331","1,405"
Total Liabilities,"2,220","2,321","2,319","2,228","2,398","2,710","2,858","3,021"
Fixed Assets +,711,694,688,790,789,760,775,765
CWIP,262,359,364,300,253,215,163,174
Investments,0,0,0,7,0,0,30,0
Other Assets +,"1,247","1,268","1,267","1,131","1,356","1,735","1,890","2,082"
Total Assets,"2,220","2,321","2,319","2,228","2,398","2,710","2,858","3,021"
