,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"31,226","29,197","50,463","165,179","242,132","187,686","175,763","195,600","258,306","243,128","280,753"
Expenses +,"30,437","28,414","49,196","163,452","240,382","185,802","173,967","194,051","257,182","241,949","279,571"
Operating Profit,789,783,"1,266","1,727","1,750","1,884","1,796","1,549","1,124","1,179","1,182"
OPM %,3%,3%,3%,1%,1%,1%,1%,1%,0%,0%,0%
Other Income +,3,1,0,42,48,62,66,7,3,40,41
Interest,300,363,478,578,430,537,442,222,142,90,0
Depreciation,2,16,62,79,65,68,74,73,90,91,83
Profit before tax,490,404,726,"1,112","1,303","1,342","1,346","1,261",894,"1,038","1,139"
Tax %,8%,11%,10%,4%,5%,6%,4%,4%,5%,3%,
Net Profit,453,357,655,"1,069","1,244","1,266","1,292","1,206",845,"1,009","1,083"
EPS in Rs,15.33,12.11,22.18,36.21,42.12,42.87,43.76,40.84,28.61,34.18,36.69
