,Mar 2012,Mar 2013,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,7,7,7,7,7,7,7,7,9,9
Reserves,142,159,"1,335","1,481","1,594","1,694","1,781","1,883","2,117","2,162"
Borrowings +,340,318,287,282,239,458,583,618,747,964
Other Liabilities +,65,73,71,70,55,74,59,63,125,120
Total Liabilities,554,558,"1,700","1,840","1,895","2,233","2,431","2,572","2,997","3,256"
Fixed Assets +,347,319,300,287,275,313,579,562,660,660
CWIP,0,2,0,3,6,86,4,10,37,100
Investments,39,41,"1,210","1,318","1,406","1,504","1,588","1,716","1,844","1,962"
Other Assets +,168,196,190,232,207,330,260,283,456,533
Total Assets,554,558,"1,700","1,840","1,895","2,233","2,431","2,572","2,997","3,256"
