,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,4,4,4,4,4,4,4,4,4,10,10,10,10
Reserves,46,51,49,46,47,63,92,111,138,163,216,331,370
Borrowings +,99,121,118,113,122,99,94,97,137,146,142,137,199
Other Liabilities +,16,29,44,55,47,39,41,47,53,59,70,139,111
Total Liabilities,166,205,215,219,221,204,232,259,333,378,439,617,690
Fixed Assets +,96,103,109,105,103,100,115,129,168,229,242,281,285
CWIP,2,4,1,0,1,6,2,6,32,10,9,30,92
Investments,0,0,4,0,0,0,0,0,0,0,0,0,0
Other Assets +,67,98,101,113,117,99,114,124,132,139,188,306,313
Total Assets,166,205,215,219,221,204,232,259,333,378,439,617,690
