,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Share Capital +,19,19,19,19,19,19,19,19,19,19,19,19
Reserves,485,534,601,699,795,869,"1,092","1,171","1,266","1,390","1,571","1,677"
Borrowings +,117,154,131,77,125,90,39,25,73,94,76,93
Other Liabilities +,395,414,438,502,496,506,559,763,804,945,922,"1,069"
Total Liabilities,"1,017","1,121","1,190","1,297","1,436","1,484","1,709","1,978","2,163","2,448","2,589","2,858"
Fixed Assets +,348,517,555,604,595,564,574,574,581,593,631,771
CWIP,159,60,35,21,26,40,42,47,51,76,164,130
Investments,26,23,20,25,24,28,239,96,109,302,283,212
Other Assets +,484,522,580,647,790,851,854,"1,261","1,422","1,477","1,510","1,745"
Total Assets,"1,017","1,121","1,190","1,297","1,436","1,484","1,709","1,978","2,163","2,448","2,589","2,858"
