,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,57,57,57,57,57,57,57,57,60,69,69,69,69
Reserves,"1,008","1,201","1,502","1,175",745,299,293,322,365,251,271,207,259
Borrowings +,"1,298","2,099","2,717","3,240","3,671","3,221","3,095","2,970","2,721","2,470","2,303","2,124","2,077"
Other Liabilities +,"2,144","2,428","2,451","1,956","2,062","1,798","2,130","1,647","1,470","1,517","1,734","2,153","2,322"
Total Liabilities,"4,507","5,785","6,727","6,429","6,535","5,374","5,576","4,996","4,616","4,308","4,377","4,552","4,727"
Fixed Assets +,491,581,564,"1,465","1,315",354,303,298,280,239,202,265,255
CWIP,143,417,807,27,11,4,4,16,0,1,28,28,72
Investments,88,91,107,111,105,198,170,138,6,6,7,7,7
Other Assets +,"3,785","4,696","5,249","4,826","5,104","4,819","5,098","4,545","4,330","4,062","4,141","4,252","4,393"
Total Assets,"4,507","5,785","6,727","6,429","6,535","5,374","5,576","4,996","4,616","4,308","4,377","4,552","4,727"
