,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Sep 2017
Share Capital +,20,41,54,171,171,171,171,171
Reserves,56,185,303,258,354,303,-124,-220
Borrowings +,96,150,191,256,300,364,364,364
Other Liabilities +,73,147,412,250,206,167,214,132
Total Liabilities,246,523,960,935,"1,031","1,005",625,447
Fixed Assets +,81,78,156,217,208,198,186,165
CWIP,15,72,37,0,2,0,0,0
Investments,0,0,0,0,0,0,0,0
Other Assets +,150,373,767,718,821,807,438,281
Total Assets,246,523,960,935,"1,031","1,005",625,447
