,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,9,9,9,9,9,9,9,9,14
Reserves,900,"1,036","1,178","1,299","1,513","1,700","1,978","2,239","2,356"
Borrowings +,39,23,0,79,65,252,207,157,137
Other Liabilities +,279,250,226,360,465,584,422,557,559
Total Liabilities,"1,227","1,319","1,414","1,747","2,053","2,545","2,617","2,962","3,066"
Fixed Assets +,425,446,448,445,440,500,865,875,848
CWIP,42,48,38,47,179,371,76,107,145
Investments,20,24,74,0,203,155,637,109,126
Other Assets +,740,801,854,"1,255","1,231","1,518","1,039","1,873","1,947"
Total Assets,"1,227","1,319","1,414","1,747","2,053","2,545","2,617","2,962","3,066"
