,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"16,704","21,162","24,165","27,945","31,559","35,442","41,115","41,603","46,536","51,465","56,946","62,644","69,756"
Expenses +,"16,230","20,540","23,511","27,261","30,843","34,637","40,264","40,757","45,570","50,373","55,554","60,805","67,746"
Operating Profit,474,621,653,684,717,806,851,846,966,"1,092","1,392","1,839","2,010"
OPM %,3%,3%,3%,2%,2%,2%,2%,2%,2%,2%,2%,3%,3%
Other Income +,19,29,46,51,64,34,41,39,-8,44,89,88,97
Interest,118,169,199,212,182,202,183,197,271,289,205,163,148
Depreciation,25,31,38,38,43,47,55,57,63,155,148,141,144
Profit before tax,351,450,462,485,555,590,655,631,623,692,"1,128","1,622","1,815"
Tax %,25%,25%,25%,26%,26%,25%,27%,23%,22%,23%,30%,19%,
Net Profit,265,339,347,358,410,444,477,484,484,534,788,"1,315","1,471"
EPS in Rs,2.85,3.67,4.05,4.21,4.84,5.30,5.80,6.02,6.53,6.62,9.74,16.38,18.41
