,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,189","1,684","2,186","2,515","2,106","2,247","2,006","1,247",775,533,756,"1,103","1,109"
Expenses +,997,"1,469","1,936","2,257","1,859","2,041","1,846","1,135",659,436,628,994,"1,021"
Operating Profit,191,215,251,258,248,206,160,112,116,98,128,110,89
OPM %,16%,13%,11%,10%,12%,9%,8%,9%,15%,18%,17%,10%,8%
Other Income +,2,6,10,27,32,24,18,13,24,28,-44,24,21
Interest,11,12,31,31,26,26,23,17,13,21,4,18,25
Depreciation,53,79,121,145,166,173,132,87,82,78,64,105,95
Profit before tax,129,130,108,108,87,31,22,21,45,26,15,10,-10
Tax %,24%,14%,20%,24%,29%,39%,66%,56%,35%,8%,-64%,98%,
Net Profit,98,111,87,82,62,19,8,9,29,24,24,0,-19
EPS in Rs,3.46,3.90,3.04,2.72,1.85,0.68,0.40,0.40,1.08,0.91,1.51,0.00,-0.67
