,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,14,14,14,14,14,14,14,14,14,14,14,14,14
Reserves,308,328,331,335,437,457,510,550,602,607,592,620,634
Borrowings +,475,479,499,349,186,227,236,272,379,418,554,599,672
Other Liabilities +,361,332,378,472,241,205,200,234,323,381,477,548,675
Total Liabilities,"1,158","1,153","1,221","1,170",878,902,960,"1,069","1,317","1,420","1,636","1,781","1,995"
Fixed Assets +,585,560,678,672,399,388,428,452,605,692,733,825,919
CWIP,91,85,51,35,34,70,44,63,80,63,63,88,65
Investments,0,0,0,0,48,6,27,26,0,0,0,2,2
Other Assets +,482,508,492,463,397,439,460,528,632,665,840,865,"1,008"
Total Assets,"1,158","1,153","1,221","1,170",878,902,960,"1,069","1,317","1,420","1,636","1,781","1,995"
