,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Sep 2021
Share Capital +,39,55,80,114,114,114,114,114,114,114,114,114,114
Reserves,214,333,498,698,475,114,-366,-702,"-1,162","-1,383","-2,092","-2,159","-2,202"
Borrowings +,441,690,"1,129","1,370","1,955","2,295","2,687","2,589","2,630","2,647","2,612","2,631","1,248"
Other Liabilities +,265,333,407,680,482,591,605,622,439,453,558,550,"1,967"
Total Liabilities,959,"1,411","2,114","2,862","3,026","3,113","3,039","2,623","2,021","1,831","1,192","1,136","1,126"
Fixed Assets +,227,323,587,597,576,547,778,731,662,628,453,430,418
CWIP,130,247,80,422,590,701,485,488,487,488,448,448,448
Investments,50,54,61,33,36,39,42,42,0,0,0,0,0
Other Assets +,552,786,"1,385","1,810","1,824","1,827","1,734","1,362",872,716,291,258,259
Total Assets,959,"1,411","2,114","2,862","3,026","3,113","3,039","2,623","2,021","1,831","1,192","1,136","1,126"
