,Sep 2006,Sep 2007,Jun 2013,Jun 2014,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,11,11,37,37,37,37,33,34,35,85,38,42,25
Reserves,-96,-100,9,37,60,66,51,49,33,35,30,-1,-20
Borrowings +,108,124,198,147,28,206,207,12,12,103,12,12,30
Other Liabilities +,64,58,377,69,68,106,63,180,169,264,98,50,25
Total Liabilities,86,91,609,278,182,402,346,266,238,427,164,85,60
Fixed Assets +,46,42,47,53,51,159,148,133,119,242,69,56,45
CWIP,0,0,2,0,2,2,3,1,1,1,0,0,0
Investments,0,0,0,0,11,6,9,7,5,63,39,0,3
Other Assets +,40,49,559,224,117,235,186,126,113,122,55,29,12
Total Assets,86,91,609,278,182,402,346,266,238,427,164,85,60
