,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,76,89,90,94,97,101,114,135,133,127,176,193
Expenses +,62,73,71,76,84,82,92,105,111,100,131,149
Operating Profit,14,16,18,17,13,19,22,30,21,27,45,44
OPM %,18%,18%,20%,18%,13%,19%,19%,22%,16%,21%,25%,23%
Other Income +,1,0,1,-0,0,1,1,1,3,5,4,4
Interest,2,2,1,2,3,3,3,3,2,0,2,3
Depreciation,2,3,3,5,8,7,7,7,7,6,6,7
Profit before tax,11,12,15,10,2,9,13,21,16,26,41,38
Tax %,32%,33%,35%,42%,82%,42%,36%,24%,26%,29%,26%,
Net Profit,7,8,10,5,0,5,8,16,12,18,30,28
EPS in Rs,4.67,5.19,6.19,3.50,0.41,3.46,5.55,10.34,7.52,11.86,19.21,17.85
