,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,11,11,12,13,13,13,13,13,13,13,13,13,13
Reserves,38,76,111,163,211,216,201,175,146,64,43,26,17
Borrowings +,-0,-0,-0,-0,-0,-0,1,-0,-0,-0,8,0,-0
Other Liabilities +,24,24,20,26,20,26,16,16,17,11,8,9,10
Total Liabilities,73,111,143,201,244,255,231,203,176,89,72,48,40
Fixed Assets +,14,12,12,18,12,9,8,13,12,20,15,10,9
CWIP,0,0,0,1,1,1,6,0,6,-0,-0,-0,-0
Investments,-0,33,30,54,66,70,101,64,45,18,5,8,3
Other Assets +,59,66,101,129,165,175,116,126,112,51,52,29,28
Total Assets,73,111,143,201,244,255,231,203,176,89,72,48,40
