,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,75,75,75,75,75,75,21,75,75,75,75,75,21
Reserves,165,164,159,154,155,162,149,132,110,101,96,134,139
Borrowings +,183,344,345,373,286,294,234,174,154,108,107,92,136
Other Liabilities +,531,373,428,583,578,292,170,152,148,157,146,74,21
Total Liabilities,900,902,952,"1,131","1,040",768,573,479,432,387,370,319,316
Fixed Assets +,243,231,203,185,152,259,303,278,268,265,248,233,231
CWIP,3,4,2,1,6,12,1,11,6,3,2,5,6
Investments,88,107,104,97,82,55,42,41,13,10,11,11,11
Other Assets +,566,560,643,848,800,441,227,149,145,108,109,70,68
Total Assets,900,902,952,"1,131","1,040",768,573,479,432,387,370,319,316
