,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"2,064","2,971","2,275","2,636","1,062","2,326",315,76,75,86,62,69,67
Expenses +,"1,985","2,921","2,233","2,610","1,098","2,282",271,59,59,65,38,112,110
Operating Profit,79,51,42,26,-36,44,44,18,16,21,24,-43,-43
OPM %,4%,2%,2%,1%,-3%,2%,14%,23%,21%,25%,39%,-62%,-64%
Other Income +,-6,27,22,15,88,1,5,16,7,11,2,122,122
Interest,20,38,25,29,31,36,34,22,19,17,13,11,10
Depreciation,28,26,22,15,13,11,22,24,22,21,19,17,16
Profit before tax,24,14,17,-3,9,-3,-7,-13,-18,-6,-5,51,54
Tax %,12%,31%,69%,57%,67%,-141%,2%,34%,14%,-12%,-5%,28%,
Net Profit,22,10,6,1,3,-5,-7,-9,-16,-6,-5,37,39
EPS in Rs,1.02,0.47,0.28,0.05,0.15,-0.26,-0.34,-0.42,-0.76,-0.30,-0.26,1.81,1.92
