,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,23,25,25,28,35,37,35,37,35,35,35,35,35
Reserves,117,98,97,118,168,61,67,14,-30,-67,-92,-113,-124
Borrowings +,116,160,143,124,209,131,167,1,2,2,2,2,2
Other Liabilities +,29,32,38,67,66,47,34,195,193,206,210,209,210
Total Liabilities,285,315,303,337,479,274,303,245,200,176,155,133,123
Fixed Assets +,161,175,160,156,243,165,221,198,172,149,129,107,97
CWIP,8,11,13,13,14,14,14,14,14,14,14,14,14
Investments,21,14,14,32,40,18,9,0,0,0,0,0,0
Other Assets +,95,116,117,136,183,77,59,33,14,13,13,12,13
Total Assets,285,315,303,337,479,274,303,245,200,176,155,133,123
