,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,3,4,4,4,4,4,4,4,4,5
Reserves,9,70,87,97,168,196,226,206,228,349
Borrowings +,54,33,58,42,55,104,114,41,56,159
Other Liabilities +,35,23,27,55,47,81,71,145,180,161
Total Liabilities,102,130,177,198,275,386,416,397,468,674
Fixed Assets +,12,12,24,23,32,29,79,67,96,132
CWIP,0,0,0,1,0,0,0,0,20,3
Investments,0,0,0,0,0,0,0,0,0,0
Other Assets +,90,117,152,174,243,357,336,330,353,538
Total Assets,102,130,177,198,275,386,416,397,468,674
