,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,10,10,10,10,10,10,10,10,10,10,10,10,10
Reserves,40,56,64,94,100,119,115,138,165,196,249,308,336
Borrowings +,49,47,49,32,43,36,47,48,41,28,35,21,19
Other Liabilities +,24,27,42,54,62,62,52,66,62,69,71,122,119
Total Liabilities,123,140,166,190,216,228,224,263,278,303,365,462,484
Fixed Assets +,76,86,92,110,122,126,127,149,142,151,159,196,189
CWIP,0,0,0,0,0,0,0,0,0,0,0,0,0
Investments,0,0,1,1,0,3,0,0,0,6,10,18,21
Other Assets +,46,54,73,79,94,99,96,114,136,147,195,248,274
Total Assets,123,140,166,190,216,228,224,263,278,303,365,462,484
