,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,16,16,16,16,16,16,21,21,21,23,23,23
Reserves,43,51,69,80,109,134,221,286,310,326,357,376
Borrowings +,64,19,103,128,136,131,46,25,4,5,86,2
Other Liabilities +,53,103,85,304,506,631,511,611,793,76,203,212
Total Liabilities,176,189,273,530,768,912,798,943,"1,127",430,669,613
Fixed Assets +,5,4,4,3,3,3,2,2,7,5,5,4
CWIP,0,0,0,0,0,0,0,0,0,0,0,0
Investments,0,0,0,0,0,0,0,0,56,10,0,187
Other Assets +,171,185,270,526,765,910,796,941,"1,065",415,664,423
Total Assets,176,189,273,530,768,912,798,943,"1,127",430,669,613
