,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,5,5,5,5,5,10,13,13,13,14,29,32
Reserves,41,46,52,59,70,87,146,176,194,238,253,344
Borrowings +,57,65,84,75,59,69,109,151,165,198,249,256
Other Liabilities +,22,43,66,48,42,90,100,132,82,102,152,176
Total Liabilities,124,159,206,187,176,255,368,472,454,553,683,807
Fixed Assets +,36,37,54,54,55,62,72,77,91,113,126,130
CWIP,0,1,0,0,0,0,1,0,0,0,6,11
Investments,0,0,0,0,2,1,0,2,1,10,0,0
Other Assets +,87,120,152,133,119,193,295,393,361,430,551,666
Total Assets,124,159,206,187,176,255,368,472,454,553,683,807
