,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019
Share Capital +,9,9,9,9,9,9,9,9,9,9,9,9
Reserves,127,126,121,112,104,106,105,104,103,73,62,57
Borrowings +,93,87,57,53,56,43,48,46,41,57,59,68
Other Liabilities +,99,81,99,52,71,51,28,25,47,29,19,44
Total Liabilities,327,302,285,225,239,209,190,183,199,168,149,178
Fixed Assets +,57,54,50,45,41,38,36,31,30,27,25,23
CWIP,-0,-0,0,-0,-0,-0,-0,-0,-0,0,0,-0
Investments,2,2,2,2,2,1,0,0,0,0,0,0
Other Assets +,268,247,234,179,196,169,154,152,170,141,124,155
Total Assets,327,302,285,225,239,209,190,183,199,168,149,178
