,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,14.61,14.61,14.61,16.29,19.11,19.11,19.11,19.11,19.11,19.11
Reserves,36.16,35.54,41.10,49.29,64.60,67.12,67.71,66.07,66.10,65.91
Borrowings +,19.59,16.99,13.01,19.05,6.73,17.65,13.64,20.72,15.00,18.58
Other Liabilities +,10.97,5.51,8.67,13.30,10.40,7.17,17.39,6.57,6.42,9.34
Total Liabilities,81.33,72.65,77.39,97.93,100.84,111.05,117.85,112.47,106.63,112.94
Fixed Assets +,41.59,35.35,31.49,37.53,35.40,53.71,60.60,54.69,51.85,48.95
CWIP,0.00,0.13,0.81,19.20,24.12,8.78,2.22,2.49,0.20,0.20
Investments,0.01,0.01,0.02,0.01,1.51,1.56,1.76,2.18,2.33,2.45
Other Assets +,39.73,37.16,45.07,41.19,39.81,47.00,53.27,53.11,52.25,61.34
Total Assets,81.33,72.65,77.39,97.93,100.84,111.05,117.85,112.47,106.63,112.94
