,Mar 2007,Mar 2008,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,9,9,8,8,8,8,8,8,8,8
Reserves,172,195,563,584,662,723,779,881,943,"1,000"
Borrowings +,0,54,14,2,0,0,0,0,0,0
Other Liabilities +,60,86,118,95,87,70,55,75,64,60
Total Liabilities,241,344,702,688,758,800,842,964,"1,014","1,068"
Fixed Assets +,57,53,73,126,138,132,128,120,110,105
CWIP,0,0,0,11,0,0,0,0,0,0
Investments,15,7,393,287,392,504,428,512,512,647
Other Assets +,169,284,237,265,228,164,285,332,392,316
Total Assets,241,344,702,688,758,800,842,964,"1,014","1,068"
