,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,10,51,51,60,60,60,60,60,60
Reserves,249,222,251,574,659,702,744,799,814
Borrowings +,370,395,460,484,268,283,310,614,664
Other Liabilities +,286,296,305,467,475,321,482,503,586
Total Liabilities,916,965,"1,067","1,585","1,462","1,367","1,597","1,976","2,124"
Fixed Assets +,476,528,595,678,743,831,842,942,997
CWIP,40,55,29,72,37,33,15,128,145
Investments,3,4,11,24,39,48,58,53,47
Other Assets +,396,377,433,811,642,454,682,853,935
Total Assets,916,965,"1,067","1,585","1,462","1,367","1,597","1,976","2,124"
